customer_id,age,income,employment_length,loan_amount,loan_term,interest_rate,credit_score,dti_ratio,existing_loans,previous_defaults,employment_type,education,marital_status,loan_purpose,loan_default
CUST-000044,50,182776.51,12,77049.28,24,22.83,720,0.6089,1,0,RETIRED,PHD,SINGLE,EDUCATION,1
CUST-000045,44,80962.37,8,34580.31,24,7.92,459,0.6307,4,0,UNEMPLOYED,HIGH_SCHOOL,SINGLE,HOME,1
CUST-000046,40,79653.23,15,21536.44,12,17.12,494,0.5987,5,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,EDUCATION,1
CUST-000047,22,168864.13,4,73220.23,48,9.68,386,0.4029,2,0,SELF_EMPLOYED,MASTERS,SINGLE,AUTO,0
CUST-000048,51,56956.21,7,69527.87,36,20.87,608,0.6665,6,0,SALARIED,BACHELORS,DIVORCED,AUTO,1
CUST-000049,31,81045.44,13,42556.20,48,12.93,519,0.6769,3,0,SALARIED,BACHELORS,DIVORCED,HOME,1
CUST-000050,34,193955.72,16,35917.27,48,15.27,625,0.4129,4,3,SELF_EMPLOYED,PHD,MARRIED,PERSONAL,1
CUST-000051,24,77030.29,6,39767.71,60,17.57,350,0.3494,0,2,SELF_EMPLOYED,BACHELORS,DIVORCED,AUTO,1
CUST-000052,65,61147.15,13,43734.40,36,21.22,450,0.1118,5,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,AUTO,1
CUST-000053,61,154365.31,1,81969.41,24,18.91,805,0.5807,1,0,SELF_EMPLOYED,MASTERS,MARRIED,AUTO,0
CUST-000054,63,161647.37,30,37397.21,12,7.73,660,0.4571,6,2,RETIRED,HIGH_SCHOOL,MARRIED,BUSINESS,1
CUST-000055,32,198201.29,12,78155.89,60,23.85,377,0.1725,2,3,SALARIED,MASTERS,SINGLE,PERSONAL,1
CUST-000056,25,45736.17,7,64767.69,12,19.39,426,0.1386,4,0,RETIRED,HIGH_SCHOOL,MARRIED,HOME,1
CUST-000057,54,104026.41,33,6506.96,48,17.58,549,0.6659,3,0,SELF_EMPLOYED,PHD,MARRIED,BUSINESS,1
CUST-000058,56,174596.12,27,45346.40,12,19.86,833,0.4561,3,0,SALARIED,BACHELORS,MARRIED,AUTO,0
CUST-000059,29,155023.44,11,83569.61,60,21.13,491,0.1864,0,0,RETIRED,PHD,SINGLE,PERSONAL,0
CUST-000060,58,25891.01,20,38687.28,60,12.19,510,0.1332,2,0,SELF_EMPLOYED,HIGH_SCHOOL,MARRIED,AUTO,1
CUST-000061,52,199362.98,23,56846.05,60,18.41,423,0.4269,6,0,SELF_EMPLOYED,HIGH_SCHOOL,MARRIED,EDUCATION,0
CUST-000062,50,112363.70,7,42849.55,24,23.32,331,0.6111,4,0,SELF_EMPLOYED,PHD,SINGLE,PERSONAL,1
CUST-000063,25,45092.48,7,84178.74,24,6.90,698,0.5919,2,0,RETIRED,HIGH_SCHOOL,MARRIED,PERSONAL,0
CUST-000064,48,63088.82,5,15311.83,24,11.05,340,0.3980,5,0,UNEMPLOYED,MASTERS,SINGLE,HOME,1
CUST-000065,47,174977.40,10,45727.34,60,17.62,690,0.6552,1,0,UNEMPLOYED,BACHELORS,DIVORCED,EDUCATION,0
CUST-000066,56,68862.14,21,4980.09,48,24.65,376,0.3329,1,1,RETIRED,MASTERS,MARRIED,BUSINESS,0
CUST-000067,50,173727.48,12,76510.75,48,7.69,453,0.1002,4,0,SALARIED,HIGH_SCHOOL,MARRIED,EDUCATION,0
CUST-000068,66,43924.94,3,72597.05,24,6.56,796,0.3156,1,0,SELF_EMPLOYED,MASTERS,MARRIED,AUTO,0
CUST-000069,21,64412.91,3,30652.26,24,7.04,674,0.6061,1,0,UNEMPLOYED,PHD,DIVORCED,PERSONAL,1
CUST-000070,70,42966.60,10,56794.44,12,24.04,781,0.2511,1,0,RETIRED,MASTERS,DIVORCED,PERSONAL,0
CUST-000071,64,21115.49,5,66036.63,48,17.96,442,0.3877,1,0,UNEMPLOYED,HIGH_SCHOOL,SINGLE,HOME,1
CUST-000072,60,60784.60,31,30467.94,36,11.28,367,0.2534,1,0,UNEMPLOYED,BACHELORS,DIVORCED,BUSINESS,1
CUST-000073,53,101674.97,25,64356.18,12,13.65,327,0.2747,5,0,SALARIED,HIGH_SCHOOL,SINGLE,AUTO,0
CUST-000074,69,162207.69,33,68894.57,60,16.38,539,0.1255,5,0,UNEMPLOYED,BACHELORS,DIVORCED,EDUCATION,1
CUST-000075,59,193608.73,2,59346.29,48,7.75,725,0.1400,0,0,UNEMPLOYED,MASTERS,MARRIED,AUTO,0
CUST-000076,50,119028.80,24,47971.34,60,13.34,798,0.4075,5,0,SELF_EMPLOYED,HIGH_SCHOOL,SINGLE,AUTO,0
CUST-000077,50,102254.50,19,45624.03,48,23.29,665,0.2403,3,0,RETIRED,PHD,DIVORCED,HOME,0
CUST-000078,36,149486.29,4,45077.43,24,16.44,730,0.5148,1,0,RETIRED,MASTERS,MARRIED,AUTO,0
CUST-000079,31,67438.62,13,19204.28,60,5.80,753,0.3650,6,0,RETIRED,BACHELORS,DIVORCED,HOME,0
CUST-000080,64,91780.92,10,80038.85,24,18.40,557,0.2348,2,3,SELF_EMPLOYED,BACHELORS,SINGLE,PERSONAL,1
CUST-000081,55,181252.96,6,15493.13,48,13.26,476,0.1654,1,0,SELF_EMPLOYED,MASTERS,SINGLE,PERSONAL,1
CUST-000082,26,38570.43,8,33556.93,60,15.85,471,0.2413,6,1,UNEMPLOYED,PHD,DIVORCED,EDUCATION,1
CUST-000083,23,77072.15,5,48112.19,48,16.61,315,0.3132,1,0,SELF_EMPLOYED,MASTERS,DIVORCED,HOME,1
CUST-000084,70,96729.46,18,74015.76,60,23.35,416,0.2343,4,0,SELF_EMPLOYED,PHD,DIVORCED,AUTO,1
CUST-000085,62,175564.92,1,55845.31,36,13.54,518,0.2190,6,0,UNEMPLOYED,BACHELORS,MARRIED,EDUCATION,0
CUST-000086,22,75556.49,4,11279.01,48,14.69,797,0.0672,2,0,UNEMPLOYED,MASTERS,MARRIED,HOME,0
CUST-000087,23,35027.43,5,37288.42,12,14.65,733,0.1960,4,0,UNEMPLOYED,MASTERS,MARRIED,BUSINESS,0
CUST-000088,70,166394.16,10,13721.44,12,15.25,849,0.3239,5,1,SELF_EMPLOYED,MASTERS,SINGLE,PERSONAL,0
CUST-000089,55,131477.37,21,88536.91,60,5.59,527,0.5837,0,0,UNEMPLOYED,HIGH_SCHOOL,SINGLE,EDUCATION,1
CUST-000090,63,123156.14,2,40094.18,24,13.23,702,0.1618,6,0,SALARIED,PHD,DIVORCED,PERSONAL,0
CUST-000091,54,120818.61,17,51210.33,24,20.53,487,0.2866,4,0,RETIRED,HIGH_SCHOOL,MARRIED,PERSONAL,0
CUST-000092,21,72491.87,3,25039.08,24,21.30,382,0.1326,4,0,SELF_EMPLOYED,PHD,DIVORCED,EDUCATION,1
CUST-000093,65,99941.25,21,36147.93,12,22.08,386,0.1450,4,3,SELF_EMPLOYED,MASTERS,DIVORCED,PERSONAL,1
CUST-000094,62,132533.62,12,87354.36,24,11.10,586,0.0959,2,0,SALARIED,PHD,DIVORCED,BUSINESS,0
CUST-000095,58,22247.47,32,50060.46,60,7.07,619,0.6973,1,0,SALARIED,PHD,SINGLE,PERSONAL,0
CUST-000096,46,131996.15,14,43761.19,36,10.72,569,0.4258,4,0,SELF_EMPLOYED,BACHELORS,MARRIED,PERSONAL,1
CUST-000097,56,173702.35,32,14562.83,60,9.44,842,0.1894,0,0,SALARIED,PHD,SINGLE,EDUCATION,0
CUST-000098,70,57488.57,27,11373.26,48,12.69,585,0.6367,1,0,SELF_EMPLOYED,MASTERS,MARRIED,BUSINESS,1
CUST-000099,32,43682.72,14,48511.43,12,20.91,566,0.2228,0,1,SALARIED,HIGH_SCHOOL,DIVORCED,PERSONAL,1
CUST-000100,69,169013.05,7,50047.17,12,5.94,617,0.5938,5,0,SELF_EMPLOYED,BACHELORS,SINGLE,HOME,0
CUST-000101,21,167434.21,0,22043.51,60,17.93,447,0.1080,1,3,UNEMPLOYED,PHD,MARRIED,PERSONAL,1
CUST-000102,34,36921.68,16,68387.20,48,12.54,437,0.4102,6,1,SALARIED,HIGH_SCHOOL,MARRIED,EDUCATION,1
CUST-000103,26,105697.71,8,40729.69,48,12.43,307,0.6630,5,0,SALARIED,MASTERS,MARRIED,EDUCATION,0
CUST-000104,56,164107.21,26,48939.06,48,9.99,652,0.1427,3,0,SALARIED,MASTERS,DIVORCED,BUSINESS,0
CUST-000105,38,180251.16,?,37796.45,12,6.11,499,0.3092,2,0,UNEMPLOYED,HIGH_SCHOOL,DIVORCED,AUTO,0
CUST-000106,38,151411.94,4,51230.11,24,8.21,561,0.2794,6,0,SELF_EMPLOYED,BACHELORS,MARRIED,AUTO,0
CUST-000107,55,116923.91,12,89484.19,12,23.00,676,0.3262,0,0,SELF_EMPLOYED,MASTERS,DIVORCED,HOME,1
CUST-000108,42,33402.42,8,64180.51,36,16.27,529,0.2268,5,0,UNEMPLOYED,PHD,MARRIED,EDUCATION,1
CUST-000109,27,51932.43,7,36904.01,24,5.78,832,0.0997,4,0,RETIRED,HIGH_SCHOOL,MARRIED,PERSONAL,0
CUST-000110,51,28868.89,21,28069.99,24,17.12,471,0.2255,3,0,SELF_EMPLOYED,PHD,SINGLE,AUTO,0
CUST-000111,69,18035.25,3,51105.30,60,17.46,519,0.4844,5,0,SALARIED,MASTERS,SINGLE,BUSINESS,1
CUST-000112,34,145572.89,16,39170.15,24,13.27,696,0.6658,0,0,SALARIED,MASTERS,MARRIED,PERSONAL,0
CUST-000113,24,80803.61,6,40992.82,12,16.26,455,0.3610,3,0,SELF_EMPLOYED,HIGH_SCHOOL,SINGLE,BUSINESS,1
CUST-000114,41,95769.32,19,89604.80,48,20.84,527,0.2146,0,0,SELF_EMPLOYED,PHD,MARRIED,HOME,1
CUST-000115,26,87730.67,8,87270.47,12,7.35,666,0.4369,2,1,UNEMPLOYED,BACHELORS,SINGLE,HOME,1
CUST-000116,23,135327.47,1,76216.90,60,22.79,436,0.2990,3,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,HOME,1
CUST-000117,34,88394.57,9,71393.14,36,6.50,357,0.5883,1,0,RETIRED,PHD,SINGLE,HOME,0
CUST-000118,65,195389.10,32,20103.22,12,14.93,604,0.5061,2,0,RETIRED,BACHELORS,MARRIED,EDUCATION,1
CUST-000119,31,194189.62,13,60680.09,60,19.52,339,0.2090,2,3,SELF_EMPLOYED,BACHELORS,MARRIED,AUTO,1
CUST-000120,21,104348.00,3,20203.16,60,6.67,550,0.5734,2,0,SELF_EMPLOYED,HIGH_SCHOOL,MARRIED,HOME,0
CUST-000121,34,106173.73,16,47164.19,36,13.52,491,0.2078,4,0,SELF_EMPLOYED,BACHELORS,MARRIED,AUTO,0
CUST-000122,49,117983.63,30,87373.61,12,7.65,652,0.4233,3,2,SELF_EMPLOYED,HIGH_SCHOOL,MARRIED,EDUCATION,1
CUST-000123,35,160396.25,17,11057.89,12,18.21,769,0.1579,1,0,SALARIED,BACHELORS,SINGLE,EDUCATION,0
CUST-000124,32,72753.57,14,3291.14,24,14.32,317,0.5968,4,1,UNEMPLOYED,MASTERS,MARRIED,EDUCATION,1
CUST-000125,70,102995.70,21,5978.82,24,12.07,645,0.6875,5,0,SALARIED,PHD,MARRIED,EDUCATION,0
CUST-000126,42,67336.10,21,26526.78,48,20.70,769,0.4142,0,0,RETIRED,PHD,DIVORCED,BUSINESS,0
CUST-000127,29,56052.37,11,25281.55,12,8.25,831,0.4463,4,0,UNEMPLOYED,BACHELORS,SINGLE,AUTO,0
CUST-000128,50,158516.59,13,79447.16,24,23.60,822,0.4463,4,3,UNEMPLOYED,MASTERS,MARRIED,AUTO,1
CUST-000129,47,112563.37,6,86044.48,24,10.59,530,0.3817,2,0,RETIRED,BACHELORS,MARRIED,BUSINESS,1
CUST-000130,54,128309.57,32,19059.22,12,15.06,415,0.4157,5,0,SALARIED,BACHELORS,DIVORCED,PERSONAL,1
CUST-000131,46,184762.06,14,30837.29,12,17.36,558,0.0974,1,0,SALARIED,BACHELORS,SINGLE,AUTO,1
CUST-000132,33,120260.81,15,14660.03,24,24.35,451,0.2353,6,0,SALARIED,MASTERS,MARRIED,EDUCATION,1
CUST-000133,68,190999.09,27,64273.88,60,21.35,497,0.6297,2,0,RETIRED,MASTERS,DIVORCED,AUTO,0
CUST-000134,41,187582.08,7,31498.88,24,11.97,600,0.0628,2,3,SELF_EMPLOYED,BACHELORS,MARRIED,EDUCATION,1
CUST-000135,28,98105.59,10,12417.78,60,10.61,697,0.2310,6,0,SELF_EMPLOYED,MASTERS,DIVORCED,AUTO,1
CUST-000136,54,37880.22,3,75703.26,36,8.42,730,0.2062,3,1,RETIRED,MASTERS,DIVORCED,EDUCATION,0
CUST-000137,64,116557.94,20,53918.07,12,9.62,497,0.3369,3,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,PERSONAL,1
CUST-000138,28,128051.78,10,23061.04,48,6.62,307,0.3173,6,0,RETIRED,MASTERS,MARRIED,HOME,0
CUST-000139,58,100677.02,23,86000.10,24,17.54,492,0.2347,0,0,RETIRED,MASTERS,MARRIED,PERSONAL,1
CUST-000140,50,169067.65,32,22658.55,48,17.53,578,0.3953,1,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,HOME,0
CUST-000141,21,179637.12,3,67521.34,12,8.65,344,0.6647,5,0,RETIRED,MASTERS,MARRIED,BUSINESS,0
CUST-000142,51,69545.60,14,12216.00,24,11.36,333,0.0836,6,0,SALARIED,PHD,SINGLE,AUTO,0
CUST-000143,50,18659.63,13,5414.50,12,6.82,356,0.3531,6,0,SELF_EMPLOYED,HIGH_SCHOOL,SINGLE,BUSINESS,0
CUST-000144,42,101968.89,12,9440.15,12,22.49,460,0.4315,4,0,RETIRED,MASTERS,SINGLE,AUTO,1
CUST-000145,62,146899.19,11,68527.45,48,17.69,814,0.1797,6,0,SALARIED,BACHELORS,DIVORCED,BUSINESS,0
CUST-000146,64,33494.83,32,61709.74,48,18.58,686,0.6657,0,2,SALARIED,BACHELORS,MARRIED,BUSINESS,0
CUST-000147,38,109372.10,15,62604.08,48,16.44,605,0.2970,4,0,UNEMPLOYED,MASTERS,DIVORCED,BUSINESS,1
CUST-000148,41,80338.10,23,60790.85,24,19.79,767,0.1916,1,0,UNEMPLOYED,PHD,SINGLE,EDUCATION,0
CUST-000149,37,53023.54,2,43938.47,48,23.10,467,0.3988,1,0,RETIRED,HIGH_SCHOOL,DIVORCED,EDUCATION,1
CUST-000150,64,119546.81,5,5166.27,48,9.04,456,0.6246,3,0,SELF_EMPLOYED,BACHELORS,DIVORCED,PERSONAL,0
CUST-000151,21,147305.43,3,56858.13,60,20.90,386,0.3004,5,0,UNEMPLOYED,PHD,DIVORCED,AUTO,1
CUST-000152,58,161277.36,18,6761.98,36,22.42,313,0.1438,1,0,SALARIED,BACHELORS,DIVORCED,EDUCATION,1
CUST-000153,22,71633.22,4,25163.21,48,15.22,553,0.6747,2,0,RETIRED,MASTERS,DIVORCED,HOME,1
CUST-000154,70,92842.33,24,44873.97,48,18.37,338,0.2802,4,1,SELF_EMPLOYED,PHD,MARRIED,BUSINESS,1
CUST-000155,41,58359.70,10,15012.44,48,19.40,668,0.0658,2,0,RETIRED,BACHELORS,SINGLE,BUSINESS,1
CUST-000156,62,196658.11,13,26139.06,36,16.23,383,0.4106,6,0,RETIRED,PHD,MARRIED,HOME,0
CUST-000157,47,41960.59,8,30187.48,12,22.83,732,0.5270,2,0,UNEMPLOYED,PHD,MARRIED,EDUCATION,0
CUST-000158,30,185711.06,4,42587.12,12,24.89,551,0.0956,1,0,UNEMPLOYED,MASTERS,MARRIED,AUTO,1
CUST-000159,32,47161.69,14,59939.25,12,7.47,601,0.2946,0,3,SALARIED,HIGH_SCHOOL,DIVORCED,AUTO,1
CUST-000160,31,198529.65,13,21566.80,12,15.45,844,0.6026,4,0,UNEMPLOYED,BACHELORS,MARRIED,EDUCATION,0
CUST-000161,35,36506.29,17,70646.98,12,6.03,574,0.6983,3,0,SALARIED,PHD,SINGLE,BUSINESS,1
CUST-000162,28,44437.21,0,56012.91,12,23.33,716,0.5764,3,0,RETIRED,BACHELORS,DIVORCED,EDUCATION,0
CUST-000163,44,96381.35,15,62555.61,36,24.18,427,0.4863,1,0,UNEMPLOYED,MASTERS,SINGLE,AUTO,1
CUST-000164,48,119520.91,21,72119.64,48,23.24,752,0.5190,6,0,SALARIED,BACHELORS,DIVORCED,EDUCATION,0
CUST-000165,59,104088.75,31,71557.26,48,6.52,767,0.1750,6,0,UNEMPLOYED,HIGH_SCHOOL,DIVORCED,HOME,0
CUST-000166,66,197351.91,2,68561.50,48,12.06,518,0.2016,0,1,RETIRED,HIGH_SCHOOL,DIVORCED,AUTO,1
CUST-000167,57,141788.70,8,87076.27,24,17.61,734,0.6255,2,1,SELF_EMPLOYED,PHD,DIVORCED,EDUCATION,1
CUST-000168,61,141325.28,23,56700.37,60,15.35,487,0.5401,6,3,RETIRED,HIGH_SCHOOL,MARRIED,AUTO,1
CUST-000169,25,152683.53,0,36197.48,36,13.55,668,0.4510,5,0,UNEMPLOYED,MASTERS,SINGLE,EDUCATION,0
CUST-000170,30,81639.38,2,66826.38,24,6.79,644,0.2148,0,0,SALARIED,HIGH_SCHOOL,DIVORCED,PERSONAL,0
CUST-000171,55,76813.78,0,45927.64,24,8.52,838,0.5845,6,3,RETIRED,HIGH_SCHOOL,DIVORCED,PERSONAL,1
CUST-000172,31,104640.10,13,67207.25,12,7.41,812,0.1389,3,0,SALARIED,MASTERS,DIVORCED,BUSINESS,1
CUST-000173,47,139389.05,22,7559.60,36,23.94,667,0.2196,4,0,SELF_EMPLOYED,HIGH_SCHOOL,SINGLE,PERSONAL,0
CUST-000174,50,117460.84,16,76801.44,24,11.99,439,0.6244,3,0,UNEMPLOYED,BACHELORS,MARRIED,PERSONAL,1
CUST-000175,29,148940.49,6,71871.60,60,8.32,318,0.5851,3,0,UNEMPLOYED,BACHELORS,MARRIED,HOME,0
CUST-000176,29,131798.00,10,50649.06,60,24.92,596,0.0675,4,0,RETIRED,BACHELORS,MARRIED,HOME,0
CUST-000177,70,199251.33,8,15832.53,48,6.48,706,0.2099,1,0,UNEMPLOYED,BACHELORS,DIVORCED,BUSINESS,0
CUST-000178,30,113021.49,2,30114.17,24,17.78,407,0.5332,6,0,SALARIED,PHD,MARRIED,HOME,1
CUST-000179,59,23130.09,5,60142.57,12,8.83,716,0.4351,2,0,RETIRED,MASTERS,DIVORCED,BUSINESS,1
CUST-000180,57,65782.58,29,54457.43,24,6.03,378,0.5388,1,0,RETIRED,HIGH_SCHOOL,MARRIED,EDUCATION,0
CUST-000181,48,88219.50,30,84610.35,60,22.79,565,0.2705,4,0,SALARIED,PHD,DIVORCED,PERSONAL,1
CUST-000182,40,27449.70,6,13900.39,24,11.45,583,0.3428,5,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,PERSONAL,0
CUST-000183,53,128559.66,28,73879.90,36,14.00,475,0.3072,0,0,SALARIED,BACHELORS,MARRIED,EDUCATION,0
CUST-000184,30,122947.41,12,43762.37,12,10.73,630,0.2052,2,0,SELF_EMPLOYED,MASTERS,SINGLE,BUSINESS,0
CUST-000185,50,80352.63,32,82223.04,60,24.66,453,0.3593,4,0,UNEMPLOYED,PHD,SINGLE,HOME,1
CUST-000186,28,53454.08,10,33827.66,24,18.54,843,0.5128,1,0,SELF_EMPLOYED,PHD,MARRIED,AUTO,0
CUST-000187,28,115321.76,10,40926.77,60,7.64,315,0.5920,5,0,UNEMPLOYED,MASTERS,DIVORCED,PERSONAL,1
CUST-000188,40,138786.79,22,66719.33,12,22.92,407,0.4479,0,0,SELF_EMPLOYED,BACHELORS,MARRIED,HOME,1
CUST-000189,42,176436.63,24,49924.08,48,24.63,381,0.2465,0,1,RETIRED,MASTERS,SINGLE,BUSINESS,1
CUST-000190,40,190595.69,13,12899.53,24,24.48,?,0.1979,3,0,SELF_EMPLOYED,PHD,SINGLE,BUSINESS,0
CUST-000191,66,174917.99,30,41470.83,12,14.34,791,0.2651,4,0,UNEMPLOYED,MASTERS,MARRIED,HOME,0
CUST-000192,35,118401.62,12,84381.97,24,13.55,623,0.4330,0,0,SELF_EMPLOYED,PHD,SINGLE,HOME,1
CUST-000193,67,89615.94,0,17044.98,36,12.47,801,0.1507,0,0,RETIRED,MASTERS,DIVORCED,BUSINESS,0
CUST-000194,70,180011.38,?,69389.29,60,7.06,578,0.1174,5,0,RETIRED,BACHELORS,DIVORCED,AUTO,1
CUST-000195,61,151580.59,4,63423.68,24,10.77,821,0.5295,1,0,SELF_EMPLOYED,HIGH_SCHOOL,DIVORCED,BUSINESS,0
CUST-000196,41,54113.53,23,46711.07,60,19.21,849,0.3379,2,0,UNEMPLOYED,HIGH_SCHOOL,MARRIED,HOME,0
CUST-000197,51,144068.45,31,71461.65,24,10.79,719,0.6653,2,2,SALARIED,HIGH_SCHOOL,MARRIED,AUTO,0
CUST-000198,36,151011.55,18,5281.48,60,20.53,?,0.1086,4,1,UNEMPLOYED,BACHELORS,DIVORCED,BUSINESS,1
CUST-000199,57,166069.29,24,66856.25,36,5.39,622,0.6459,1,2,UNEMPLOYED,MASTERS,DIVORCED,EDUCATION,1
CUST-000200,51,24967.32,16,35916.86,60,22.05,374,0.1030,4,2,UNEMPLOYED,HIGH_SCHOOL,SINGLE,HOME,1
CUST-000201,41,125038.70,23,53647.36,24,24.28,525,0.5074,0,0,UNEMPLOYED,BACHELORS,DIVORCED,AUTO,1
CUST-000202,33,145794.99,4,79306.55,24,24.96,386,0.6553,6,0,SELF_EMPLOYED,BACHELORS,DIVORCED,HOME,1
